ClassOrClub,BillingFirstName,BillingLastName,BillingCompany,BillingAddress,BillingAddress2,BillingCity,BillState,BillZipCode,BillCountry,BillPhone,BillEmail,BirthDate,ShipFirstName,ShipLastName,ShipCompany,ShipAddress,ShipAddress2,ShipCity,ShipState,ShipZipCode,ShipCountry,ShipPhone,ShipEmail,CCNumber,CCExpMonth,CCExpYear,NameOnCard,Pickup,PickupLocation,SignUpDate,OnHoldUntil,WineClubNotes,AccountNotes,Password,OptIn,TaxExempt,CustNum
Consumer,David,Taylor,,,,,,,UNITED STATES,345-677-9902,dt@op.po,6/1/1960 0:00,,,,,,,,,UNITED STATES,,,,,,,,,2/23/2021 15:35,,"(Date: 2021-08-26 09:13:05.5852674, Author: Customer, Note: Reservation: 3:00 PM / Tim Huff / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 08/28/2021&#x0D;
	Time: 3:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 160398&#x0D;
	Order #: 3375&#x0D;
	Prepaid: $22.02&#x0D;
Contact Person&#x0D;
	Tim Huff&#x0D;
	555-555-5555&#x0D;
	timh@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-29 09:49:58.6886527, Author: Customer, Note: Reservation: 6:00 PM / Tim Huff / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/30/2021&#x0D;
	Time: 6:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 149409&#x0D;
	Order #: 3061&#x0D;
	Prepaid: $66.06&#x0D;
Contact Person&#x0D;
	Tim Huff&#x0D;
	555-555-5555&#x0D;
	timh@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-29 09:20:51.0685510, Author: Customer, Note: Reservation: 4:30 PM / Tim Huff / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 4:30 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 149385&#x0D;
	Order #: 3060&#x0D;
	Prepaid: $66.06&#x0D;
Contact Person&#x0D;
	Tim Huff&#x0D;
	555-555-5555&#x0D;
	timh@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-22 13:56:52.4358612, Author: Customer, Note: Reservation: 3:00 PM / Tim Huff / 3 people&#x0D;
Details&#x0D;
	Location: Bistro&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 3:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: &#x0D;
Contact Person&#x0D;
	Tim Huff&#x0D;
	555-555-5555&#x0D;
	timh@orderport.net&#x0D;
Notes: &#x0D;
	testing reservation update)","(Date: 2021-08-26 09:13:05.5852674, Author: Customer, Note: Reservation: 3:00 PM / Tim Huff / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 08/28/2021&#x0D;
	Time: 3:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 160398&#x0D;
	Order #: 3375&#x0D;
	Prepaid: $22.02&#x0D;
Contact Person&#x0D;
	Tim Huff&#x0D;
	555-555-5555&#x0D;
	timh@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-29 09:49:58.6886527, Author: Customer, Note: Reservation: 6:00 PM / Tim Huff / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/30/2021&#x0D;
	Time: 6:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 149409&#x0D;
	Order #: 3061&#x0D;
	Prepaid: $66.06&#x0D;
Contact Person&#x0D;
	Tim Huff&#x0D;
	555-555-5555&#x0D;
	timh@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-29 09:20:51.0685510, Author: Customer, Note: Reservation: 4:30 PM / Tim Huff / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 4:30 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 149385&#x0D;
	Order #: 3060&#x0D;
	Prepaid: $66.06&#x0D;
Contact Person&#x0D;
	Tim Huff&#x0D;
	555-555-5555&#x0D;
	timh@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-22 13:56:52.4358612, Author: Customer, Note: Reservation: 3:00 PM / Tim Huff / 3 people&#x0D;
Details&#x0D;
	Location: Bistro&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 3:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: &#x0D;
Contact Person&#x0D;
	Tim Huff&#x0D;
	555-555-5555&#x0D;
	timh@orderport.net&#x0D;
Notes: &#x0D;
	testing reservation update)",,N,N,9281
Consumer,Brenda,Blue,,,,,,,UNITED STATES,345-678-9999,brendablue@op.net,1/1/1960 0:00,,,,,,,,,UNITED STATES,,,,,,,,,2/23/2021 15:39,,"(Date: 2021-09-01 14:45:23.4782686, Author: Customer, Note: Reservation: 6:00 PM / Tad Radwell / 4 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 10/08/2021&#x0D;
	Time: 6:00 PM&#x0D;
	Guests: 4&#x0D;
	Reservation #: 162753&#x0D;
	Order #: 3445&#x0D;
	Prepaid: $20.00&#x0D;
Contact Person&#x0D;
	Tad Radwell&#x0D;
	444-444-4444&#x0D;
	tad@radwell.com&#x0D;
Notes: &#x0D;
	n/a)","(Date: 2021-07-22 14:01:32.2421705, Author: Customer, Note: Reservation: 2:00 PM / Carlos Reiner / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 2:00 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 146701&#x0D;
	Order #: 3014&#x0D;
Contact Person&#x0D;
	Carlos Reiner&#x0D;
	125-331-4896&#x0D;
	cpjr90@gmail.com&#x0D;
Notes: &#x0D;
	n/a)",,N,N,9282
Black Diamond,Matt,Payne,,Test Drive,,Chattanooga,TN,37421,UNITED STATES,4255551212,matt@paynemedia.com,1/1/1960 0:00,,,,,,,,,UNITED STATES,,,,,,,Y,Tasting Room,2/23/2021 17:58,,,"(Date: 2021-07-27 15:15:52.0024687, Author: Customer, Note: Reservation: 4:30 PM / Timmy Huff / 6 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 4:30 PM&#x0D;
	Guests: 6&#x0D;
	Reservation #: 148828&#x0D;
	Order #: 3059&#x0D;
	Prepaid: $132.12&#x0D;
Contact Person&#x0D;
	Timmy Huff&#x0D;
	456-456-8435&#x0D;
	timh888@orderport.net&#x0D;
Notes: &#x0D;
	test message)",,N,N,9287
Consumer,Fanny,Filson,,,,,,,UNITED STATES,456-777-7777,fannyfilson@op.net,1/1/1960 0:00,,,,,,Bellevue,WA,98006,UNITED STATES,,,,,,,,,2/24/2021 13:41,,"(Date: 2021-08-16 09:22:50.9421508, Author: LauraOP, Note: Brothers wife. Always comp tastings and give 20%)",,,N,N,9292
Consumer,Branson,Billing,,,,,,,UNITED STATES,0,Bransonbilling@op.net,1/1/1960 0:00,,,,,,,,,UNITED STATES,,,,,,,,,2/24/2021 14:00,,,"(Date: 2021-08-02 14:59:49.0352712, Author: Customer, Note: Reservation: 3:00 PM / Laura Arvizu / 5 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 08/05/2021&#x0D;
	Time: 3:00 PM&#x0D;
	Guests: 5&#x0D;
	Reservation #: 151208&#x0D;
	Order #: 3075&#x0D;
	Prepaid: $110.10&#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	222-222-2222&#x0D;
	laura@lo.op&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-23 11:29:07.3558288, Author: Customer, Note: Reservation: 1:00 PM / Laura Arvizu / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 1:00 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 147119&#x0D;
	Order #: 3020&#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	222-222-2222&#x0D;
	laura@lo.op&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-22 14:49:12.3079586, Author: Customer, Note: Reservation: 1:00 PM / Laura Arvizu / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 1:00 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 146757&#x0D;
	Order #: 3016&#x0D;
	Prepaid: $44.04&#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	222-222-2222&#x0D;
	laura@lo.op&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-22 12:09:13.1996569, Author: Customer, Note: Reservation: 4:00 PM / Laura Arvizu / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/23/2021&#x0D;
	Time: 4:00 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 146608&#x0D;
	Order #: 3013&#x0D;
	Prepaid: $44.04&#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	222-222-2222&#x0D;
	laura@lo.op&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-22 11:42:09.1016878, Author: Customer, Note: Reservation: 5:00 PM / Laura Arvizu / 6 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/30/2021&#x0D;
	Time: 5:00 PM&#x0D;
	Guests: 6&#x0D;
	Reservation #: 146584&#x0D;
	Order #: 2982&#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	222-222-2222&#x0D;
	laura@lo.op&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-21 13:08:32.8794529, Author: Customer, Note: Reservation: 5:00 PM / Laura Arvizu / 4 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/30/2021&#x0D;
	Time: 5:00 PM&#x0D;
	Guests: 4&#x0D;
	Reservation #: 146152&#x0D;
	Order #: 2973&#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	222-222-2222&#x0D;
	laura@lo.op&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-21 10:57:41.7914367, Author: Customer, Note: Reservation: 4:00 PM / Laura Arvizu / 6 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 4:00 PM&#x0D;
	Guests: 6&#x0D;
	Reservation #: 146072&#x0D;
	Order #: 2967&#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	222-222-2222&#x0D;
	laura@lo.op&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-20 16:00:05.7373433, Author: Customer, Note: Reservation: 11:30 AM / Laura Arvizu / 6 people&#x0D;
Details&#x0D;
	Location: Bistro&#x0D;
	Date: 07/30/2021&#x0D;
	Time: 11:30 AM&#x0D;
	Guests: 6&#x0D;
	Reservation #: &#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	222-222-2222&#x0D;
	laura@lo.op&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-06-29 16:32:17.5370053, Author: LauraOP, Note: Event Note Example)",,N,N,9293
Consumer,Marvin,Meeks,,,,,,,UNITED STATES,0,Marvinmeeks@op.net,1/1/1960 0:00,,,,,,,,,UNITED STATES,,,,,,,,,2/25/2021 10:07,,,,,N,N,9294
Consumer,Rich,Ransom,,,,,,,UNITED STATES,0,Richransom@op.net,1/1/1960 0:00,,,,,,,,,UNITED STATES,,,,,,,,,2/25/2021 10:38,,"(Date: 2021-07-27 15:15:52.0024687, Author: Customer, Note: Reservation: 4:30 PM / Timmy Huff / 6 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 4:30 PM&#x0D;
	Guests: 6&#x0D;
	Reservation #: 148828&#x0D;
	Order #: 3059&#x0D;
	Prepaid: $132.12&#x0D;
Contact Person&#x0D;
	Timmy Huff&#x0D;
	456-456-8435&#x0D;
	timh888@orderport.net&#x0D;
Notes: &#x0D;
	test message)",,,N,N,9295
Consumer,Tuna,Fish,,,,,,,UNITED STATES,345-666-6666,tunafis@op.net,1/1/1960 0:00,,,,,,,,,UNITED STATES,,,,,,,,,2/25/2021 13:24,,,"(Date: 2021-07-23 17:07:26.7002200, Author: Customer, Note: Reservation: 11:00 AM / Rick Balile / 2 people&#x0D;
Details&#x0D;
	Location: Bistro&#x0D;
	Date: 07/28/2021&#x0D;
	Time: 11:00 AM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 147370&#x0D;
Contact Person&#x0D;
	Rick Balile&#x0D;
	206-399-6100&#x0D;
	Rbalile@op.net&#x0D;
Notes: &#x0D;
	Need wheelchair access)",,N,N,9296
Consumer,Sandy,Fish,,,,,,,UNITED STATES,,Sandyfish@op.net,1/1/1960 0:00,,,,,,,,,UNITED STATES,,,,,,,,,2/25/2021 13:29,,,"(Date: 2021-08-26 09:13:05.5852674, Author: Customer, Note: Reservation: 3:00 PM / Tim Huff / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 08/28/2021&#x0D;
	Time: 3:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 160398&#x0D;
	Order #: 3375&#x0D;
	Prepaid: $22.02&#x0D;
Contact Person&#x0D;
	Tim Huff&#x0D;
	555-555-5555&#x0D;
	timh@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-29 09:49:58.6886527, Author: Customer, Note: Reservation: 6:00 PM / Tim Huff / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/30/2021&#x0D;
	Time: 6:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 149409&#x0D;
	Order #: 3061&#x0D;
	Prepaid: $66.06&#x0D;
Contact Person&#x0D;
	Tim Huff&#x0D;
	555-555-5555&#x0D;
	timh@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-29 09:20:51.0685510, Author: Customer, Note: Reservation: 4:30 PM / Tim Huff / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 4:30 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 149385&#x0D;
	Order #: 3060&#x0D;
	Prepaid: $66.06&#x0D;
Contact Person&#x0D;
	Tim Huff&#x0D;
	555-555-5555&#x0D;
	timh@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-22 13:56:52.4358612, Author: Customer, Note: Reservation: 3:00 PM / Tim Huff / 3 people&#x0D;
Details&#x0D;
	Location: Bistro&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 3:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: &#x0D;
Contact Person&#x0D;
	Tim Huff&#x0D;
	555-555-5555&#x0D;
	timh@orderport.net&#x0D;
Notes: &#x0D;
	testing reservation update)",,N,N,9297
Black Diamond,Bob,Ross,,2678 Bob Ross Road,,Stearns,KY,42647,UNITED STATES,567-894-3210,bobby@ross.pi,10/20/1954 0:00,,,,,,,,,UNITED STATES,,,,,,,Y,Tasting Room,2/25/2021 14:29,,,"(Date: 2021-08-16 09:22:50.9421508, Author: LauraOP, Note: Brothers wife. Always comp tastings and give 20%)",,Y,N,9300
Consumer,Frank,Foot,,3456 53rd Avenue Northeast,,Tacoma,WA,98422,UNITED STATES,345-666-6666,frankfoot@op.net,1/1/1960 0:00,,,,,,,,,UNITED STATES,,,,,,,,,2/25/2021 14:35,,"(Date: 2021-08-05 12:08:29.0651549, Author: Customer, Note: Reservation: 10:00 AM / john doe / 3 people&#x0D;
Details&#x0D;
	Location: Bistro&#x0D;
	Date: 08/07/2021&#x0D;
	Time: 10:00 AM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 152213&#x0D;
Contact Person&#x0D;
	john doe&#x0D;
	111-111-1111&#x0D;
	email@email.com&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-30 16:10:58.4740183, Author: Customer, Note: Reservation: 5:00 PM / John Doe / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 5:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 150138&#x0D;
	Order #: 3072&#x0D;
Contact Person&#x0D;
	John Doe&#x0D;
	425-345-6789&#x0D;
	email@email.com&#x0D;
Notes: &#x0D;
	Thanks!)    (Date: 2021-07-30 16:04:47.3582958, Author: Customer, Note: Reservation: 2:00 PM / John Doe / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 2:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 150134&#x0D;
	Order #: 3071&#x0D;
Contact Person&#x0D;
	John Doe&#x0D;
	425-345-6789&#x0D;
	email@email.com&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-30 15:58:57.0431368, Author: Customer, Note: Reservation: 4:00 PM / John Doe / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 4:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 150127&#x0D;
	Order #: 3070&#x0D;
Contact Person&#x0D;
	John Doe&#x0D;
	425-345-6789&#x0D;
	email@email.com&#x0D;
Notes: &#x0D;
	Thanks!)    (Date: 2021-07-30 15:56:20.0582375, Author: Customer, Note: Reservation: 5:00 PM / John Doe / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 5:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 150124&#x0D;
	Order #: 3069&#x0D;
Contact Person&#x0D;
	John Doe&#x0D;
	425-345-6789&#x0D;
	email@email.com&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-30 15:51:46.2343535, Author: Customer, Note: Reservation: 5:00 PM / John Doe / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 5:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 150117&#x0D;
	Order #: 3068&#x0D;
Contact Person&#x0D;
	John Doe&#x0D;
	425-345-6789&#x0D;
	email@email.com&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-30 15:49:29.3688317, Author: Customer, Note: Reservation: 2:00 PM / John Doe / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 2:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 150114&#x0D;
	Order #: 3067&#x0D;
Contact Person&#x0D;
	John Doe&#x0D;
	425-345-6789&#x0D;
	email@email.com&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-30 15:44:56.4185934, Author: Customer, Note: Reservation: 2:00 PM / John Doe / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 2:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 150111&#x0D;
	Order #: 3066&#x0D;
Contact Person&#x0D;
	John Doe&#x0D;
	425-345-6789&#x0D;
	email@email.com&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-30 15:30:09.3459351, Author: Customer, Note: Reservation: 5:00 PM / John Doe / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 5:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 150097&#x0D;
	Order #: 3065&#x0D;
Contact Person&#x0D;
	John Doe&#x0D;
	425-345-6789&#x0D;
	email@email.com&#x0D;
Notes: &#x0D;
	n/a)","(Date: 2021-07-27 15:15:52.0024687, Author: Customer, Note: Reservation: 4:30 PM / Timmy Huff / 6 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 4:30 PM&#x0D;
	Guests: 6&#x0D;
	Reservation #: 148828&#x0D;
	Order #: 3059&#x0D;
	Prepaid: $132.12&#x0D;
Contact Person&#x0D;
	Timmy Huff&#x0D;
	456-456-8435&#x0D;
	timh888@orderport.net&#x0D;
Notes: &#x0D;
	test message)",,N,N,9301
Black Diamond,Fnjsbdc,Bbcbdsc,,12826 Southeast 40th Lane,,Bellevue,WA,98006,UNITED STATES,555-555-5555,hinedff@orderport.net,1/1/1960 0:00,,,,,,,,,UNITED STATES,,,,,,,Y,Winery,2/25/2021 15:16,,"(Date: 2021-08-16 17:06:59.4604313, Author: Customer, Note: Reservation: 1:00 PM / tommy MALCIK / 3 people&#x0D;
Details&#x0D;
	Location: Bistro&#x0D;
	Date: 08/21/2021&#x0D;
	Time: 1:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 156987&#x0D;
Contact Person&#x0D;
	tommy MALCIK&#x0D;
	408-893-2652&#x0D;
	tommy@bigdogvineyards.com&#x0D;
Notes: &#x0D;
	n/a)",,,Y,N,9302
Black Diamond,Matt,Payhee,,7865 West Mercer Way,,Mercer Island,WA,98040,UNITED STATES,425-555-6666,payhee@orderport.net,1/1/1960 0:00,,,,,,Bellevue,WA,98006,UNITED STATES,,,,,,,Y,Tasting Room,2/25/2021 15:35,,,"(Date: 2021-08-16 17:06:59.4604313, Author: Customer, Note: Reservation: 1:00 PM / tommy MALCIK / 3 people&#x0D;
Details&#x0D;
	Location: Bistro&#x0D;
	Date: 08/21/2021&#x0D;
	Time: 1:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 156987&#x0D;
Contact Person&#x0D;
	tommy MALCIK&#x0D;
	408-893-2652&#x0D;
	tommy@bigdogvineyards.com&#x0D;
Notes: &#x0D;
	n/a)",,Y,N,9304
Consumer,Carl,Summers,,,,,,,UNITED STATES,345-222-1111,Carlsummers@op.net,1/1/1962 0:00,,,,,,Bellevue,WA,98006,UNITED STATES,,,,,,,,,2/26/2021 11:58,,"(Date: 2021-09-01 14:45:23.4782686, Author: Customer, Note: Reservation: 6:00 PM / Tad Radwell / 4 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 10/08/2021&#x0D;
	Time: 6:00 PM&#x0D;
	Guests: 4&#x0D;
	Reservation #: 162753&#x0D;
	Order #: 3445&#x0D;
	Prepaid: $20.00&#x0D;
Contact Person&#x0D;
	Tad Radwell&#x0D;
	444-444-4444&#x0D;
	tad@radwell.com&#x0D;
Notes: &#x0D;
	n/a)","(Date: 2021-08-06 13:10:14.1804689, Author: Customer, Note: Reservation: 9:30 AM / Michelle Fanton / 2 people&#x0D;
Details&#x0D;
	Location: Bistro&#x0D;
	Date: 08/19/2021&#x0D;
	Time: 9:30 AM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 152943&#x0D;
Contact Person&#x0D;
	Michelle Fanton&#x0D;
	607-280-8630&#x0D;
	Mishnmash1@gmail.com&#x0D;
Notes: &#x0D;
	n/a)",,N,N,9306
Consumer,Vic,Viper,,,,,,,UNITED STATES,456-777-7999,vicviper@op.net,1/1/1966 0:00,,,,,,,,,UNITED STATES,,,,,,,,,2/26/2021 14:26,,,"(Date: 2021-09-01 14:45:23.4782686, Author: Customer, Note: Reservation: 6:00 PM / Tad Radwell / 4 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 10/08/2021&#x0D;
	Time: 6:00 PM&#x0D;
	Guests: 4&#x0D;
	Reservation #: 162753&#x0D;
	Order #: 3445&#x0D;
	Prepaid: $20.00&#x0D;
Contact Person&#x0D;
	Tad Radwell&#x0D;
	444-444-4444&#x0D;
	tad@radwell.com&#x0D;
Notes: &#x0D;
	n/a)",,N,N,9308
