Cust #,BillFirstName,BillLastName,BillEmail,BillCompany,BillAddress,BillAddress2,BillCity,BillState,BillZip,BillCountry,BillPhone,BillFax,ShipFirstName,ShipLastName,ShipEmail,ShipCompany,ShipAddress,ShipAddress2,ShipCity,ShipState,ShipZip,ShipCountry,ShipPhone,ShipFax,Custom Discount,Cust. Class,OptIn,TaxExempt,AccountNotes,Date Added,AdditionalEmails,Dob,ShipBirthDate,TaxFreeDrivingLicense,TaxFreeDrivingLicenseExpDate,TaxFreeLastName,TaxFreeFirstName,TaxFreeStateAbbrev,TabcNumber,SourceCodes,LoyaltyPointsAvailable,TotalCustomerValue,MemberAccountAvailableBalance
9116,Johnny,Bravo,johnny@op.po,,289 Muscles Trail,,Grand Forks,ND,02345,UNITED STATES,123-456-8907,,,,johnny@op.po,,,,,,,UNITED STATES,,,,Silver Club,Yes,No,,1/20/2021 7:44:35 PM,,8/20/1984 12:00:00 AM,,,,,,,,,0,,
9117,Austin,Powers,austin@op.po,,12 Groovy Way,,Greenville,SC,29617,UNITED STATES,122-890-7654,,Austin,Powers,austin@op.po,,12 Groovy Way,,Greenville,SC,29617,UNITED STATES,122-890-7654,,,Gold Club,No,No,,1/20/2021 7:48:28 PM,,6/9/1969 12:00:00 AM,6/9/1969 12:00:00 AM,,,,,,,,0,,
9118,Brittany,Spears,brittany@op.po,,12 Crossroads Boulevard,,Carmel-by-the-Sea,CA,93923,UNITED STATES,567-890-4321,,,,brittany@op.po,,,,,,,UNITED STATES,,,,Silver Club,Yes,No,,1/20/2021 7:52:58 PM,,10/23/1992 12:00:00 AM,,,,,,,,,4796,1778.2,
9119,Ziggy,Stardust,Ziggy@op.po,,12 Bowie Place,,Irvine,CA,92602,UNITED STATES,389-076-5421,,Ziggy,Stardust,Ziggy@op.po,,12 Bowie Place,,Irvine,CA,92602,UNITED STATES,389-076-5421,,,Subscription Club,No,No,,1/20/2021 7:58:22 PM,,4/16/1997 12:00:00 AM,4/16/1997 12:00:00 AM,,,,,,,,0,43.8,288.8
9132,Sally,Mae,sally@op.po,,1245 Spring Street,,Paso Robles,CA,93446,UNITED STATES,123-456-7890,,,,sally@op.po,,,,,,,UNITED STATES,,,,Consumer,No,No,,1/21/2021 10:56:54 AM,,5/25/1992 12:00:00 AM,,,,,,,,,0,,
9139,Anna,Goldman,anna@op.po,,,,,,,UNITED STATES,,,Anna,Goldman,anna@op.po,,12367 California 33,,Gustine,CA,95322,UNITED STATES,890-765-4321,,,Gold Club,Yes,No,"(Date: 2021-07-22 14:01:32.2421705, Author: Customer, Note: Reservation: 2:00 PM / Carlos Reiner / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 2:00 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 146701&#x0D;
	Order #: 3014&#x0D;
Contact Person&#x0D;
	Carlos Reiner&#x0D;
	125-331-4896&#x0D;
	cpjr90@gmail.com&#x0D;
Notes: &#x0D;
	n/a)",1/22/2021 6:21:31 PM,,1/1/1960 12:00:00 AM,,,,,,,,,200,40,
9160,Steve,Rogers,steve@op.po,,456 Brooklyn Avenue,,Brooklyn,NY,11225,UNITED STATES,123-456-7890,,Steve,Rogers,steve@op.po,,,,,,,UNITED STATES,123-456-7890,,,Gold Club,No,No,,1/27/2021 1:10:17 PM,,1/1/1960 12:00:00 AM,1/1/1960 12:00:00 AM,,,,,,,,756,151.2,
9162,Jessica,Jones,jessica@op.po,,234 North Bethel Road,,Templeton,CA,93465,UNITED STATES,908-765-4321,,Jessica,Jones,jessica@op.po,,234 North Bethel Road,,Templeton,CA,93465,UNITED STATES,908-765-4321,,,Gold Club,Yes,No,,1/27/2021 1:39:14 PM,,,,,,,,,,,1880,376,
9165,Damien,Dhark,damien@op.po,,2380 Adobe Road,,Paso Robles,CA,93446,UNITED STATES,765-432-1890,,Damien,Dhark,damien@op.po,,2380 Adobe Road,,Paso Robles,CA,93446,UNITED STATES,765-432-1890,,,Silver Club,Yes,No,,1/27/2021 1:43:33 PM,,,,,,,,,,,4796,1909.95,
9167,Oliver,Queen,arrow@op.po,,268 Starling Drive,,Paso Robles,CA,93446,UNITED STATES,123-456-7890,,Oliver,Queen,arrow@op.po,,1254 1st,,Paso,CA,93446,UNITED STATES,123-456-7890,,,Subscription Club,No,No,,1/27/2021 2:08:12 PM,,,,,,,,,,,2224,444.8,360
9171,Andy,Mints,andy@op.po,,,,,,,UNITED STATES,,,Andy,Mints,,,,,,,,UNITED STATES,123-456-7890,,,Gold Club,Yes,No,,1/27/2021 2:38:46 PM,,1/1/1960 12:00:00 AM,,,,,,,,,3032,606.45,
9189,Case Test,Tester,casetest@op.net,,,,,,,UNITED STATES,,,,,,,,,,,,UNITED STATES,,,,Case Club,No,No,,2/1/2021 5:36:38 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9199,Billy,Banner,Billybanner@op.net,,5678 West Tapps Highway East,,Bonney Lake,WA,98391,UNITED STATES,789-666-6666,,Billy,Banner,Billybanner@op.net,,4534 South Warner Street,,Tacoma,WA,98409,UNITED STATES,206-399-6100,,,Consumer,No,No,,2/2/2021 9:15:51 PM,,1/1/1960 12:00:00 AM,1/1/1960 12:00:00 AM,,,,,,,,0,763,
9217,Fred,Farmer,fredfarmer@op.net,,316 Martin Luther King Junior Way,,Tacoma,WA,98405,UNITED STATES,453-222-2111,,Fred,Farmer,fredfarmer@op.net,,316 Martin Luther King Junior Way,,Tacoma,WA,98405,UNITED STATES,453-222-2111,,,Tier Case Club,No,No,,2/3/2021 12:20:03 PM,,,,,,,,,,,0,89.3,
9219,Brad,Roeber,gobr@op.net,,3717 NE 14th St,,Renton,WA,98056,UNITED STATES,555-555-5555,,Brad,Roeber,gobr@op.net,,3717 NE 14th St,,Renton,WA,98056,UNITED STATES,555-555-5555,,,Subscription Club,No,No,,2/3/2021 5:33:38 PM,,,,,,,,,,,0,,315
9223,Ross,Hogin,ross@orderport.net,,3717 North 9th Street,,Tacoma,WA,98406,UNITED STATES,444-444-4444,,Ross,Hogin,ross@orderport.net,,3717 North 9th Street,,Tacoma,WA,98406,UNITED STATES,444-444-4444,,,Silver Club,Yes,No,,2/4/2021 4:54:26 PM,,,,,,,,,,,4796,1778.2,
9224,Betty,Bond,bettybond@op.net,,6789 Banner Road Southeast,,Port Orchard,WA,98367,UNITED STATES,456-777-7888,,Betty,Bond,bettybond@op.net,,6789 Banner Road Southeast,,Port Orchard,WA,98367,UNITED STATES,456-777-7888,,,Silver Club,Yes,No,,2/4/2021 5:03:34 PM,,,,,,,,,,,4306,1655.8,
9226,Ginger,Grant,gingergrant@op.net,,4532 South Puget Sound Avenue,,Tacoma,WA,98409,UNITED STATES,888-888-8888,,Ginger,Grant,gingergrant@op.net,,4532 South Puget Sound Avenue,,Tacoma,WA,98409,UNITED STATES,888-888-8888,,,Silver Club,No,No,,2/4/2021 5:09:41 PM,,,1/1/1960 12:00:00 AM,,,,,,,,0,,90
9227,Mary,Rogers,maryrogers@op.net,,9879 43rd Place Northeast,,Seattle,WA,98115,UNITED STATES,678-999-9999,,Mary,Rogers,maryrogers@op.net,,9879 43rd Place Northeast,,Seattle,WA,98115,UNITED STATES,678-999-9999,,,Consumer,No,No,,2/4/2021 5:16:31 PM,,,,,,,,,,,0,,0
9228,Mary,Belisle,marybelisle@op.net,,3717 North 34th Street,,Tacoma,WA,98407,UNITED STATES,897-777-6666,,Mary,Belisle,marybelisle@op.net,,3717 North 34th Street,,Tacoma,WA,98407,UNITED STATES,897-777-6666,,,Subscription Club,No,No,,2/4/2021 5:24:15 PM,,1/1/1960 12:00:00 AM,1/1/1960 12:00:00 AM,,,,,,,,0,1089.3,45
9241,Captain,Cuddles,cc@cc.co,,2467 South Elm Avenue,,Fresno,CA,93706,UNITED STATES,123-456-7890,,Steve,Rogers,steve@op.po,,456 Brooklyn Avenue,,Brooklyn,NY,11225,UNITED STATES,123-456-7890,,,Gold Club,Yes,No,,2/11/2021 9:15:31 AM,,,,,,,,,,,13296,2659.2,
9246,Martha,Washington,martha@op.net,,5678 Southeast Burley Olalla Road,,Olalla,WA,98359,UNITED STATES,456-777-7777,,Martha,Washington,martha@op.net,,5678 Southeast Burley Olalla Road,,Olalla,WA,98359,UNITED STATES,456-777-7777,,,Consumer,No,No,,2/11/2021 11:59:44 AM,,,,,,,,,,,0,134.3,
9257,Laura,Arvizu,laura@op.op,,543 Ferro Lane,,Paso Robles,CA,93446,UNITED STATES,123-456-7890,,Laura,Arvizu,laura@op.op,,543 Ferro Lane,,Paso Robles,CA,93446,UNITED STATES,123-456-7890,,,Silver Club,Yes,No,,2/15/2021 1:09:59 PM,,,,,,,,,,,5690,1879.35,
9261,John,Huff,John324234@orderport.net,,,,,,,UNITED STATES,,,,,John324234@orderport.net,,,,,,,UNITED STATES,,,,Consumer,No,No,,2/15/2021 2:44:30 PM,,1/1/1960 12:00:00 AM,1/1/1960 12:00:00 AM,,,,,,,,0,,
9276,Tim,Hopkins,timhopkins@op.net,,5690 Washington 302,,Belfair,WA,98528,UNITED STATES,456-333-2222,,Tim,Hopkins,timhopkins@op.net,,5690 Washington 302,,Belfair,WA,98528,UNITED STATES,456-333-2222,,,Consumer,No,No,,2/22/2021 1:38:29 PM,,1/1/1960 12:00:00 AM,1/1/1960 12:00:00 AM,,,,,,,,0,,
9280,Brenda,Bird,brendabird@op.net,,,,,,,UNITED STATES,345-666-6666,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,2/23/2021 3:29:29 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9281,David,Taylor,dt@op.po,,,,,,,UNITED STATES,345-677-9902,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,2/23/2021 3:35:58 PM,,6/1/1960 12:00:00 AM,,,,,,,,,0,,
9282,Brenda,Blue,brendablue@op.net,,,,,,,UNITED STATES,345-678-9999,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,2/23/2021 3:39:28 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9287,Matt,Payne,matt@paynemedia.com,,Test Drive,,Chattanooga,TN,37421,UNITED STATES,4255551212,,,,,,,,,,,UNITED STATES,,,,Gold Club,No,No,,2/23/2021 5:58:21 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9292,Fanny,Filson,fannyfilson@op.net,,,,,,,UNITED STATES,456-777-7777,,,,,,,,Bellevue,WA,98006,UNITED STATES,,,,Consumer,No,No,,2/24/2021 1:41:45 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9293,Branson,Billing,Bransonbilling@op.net,,,,,,,UNITED STATES,0000000000,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,2/24/2021 2:00:20 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9294,Marvin,Meeks,Marvinmeeks@op.net,,,,,,,UNITED STATES,0000000000,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,2/25/2021 10:07:22 AM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9295,Rich,Ransom,Richransom@op.net,,,,,,,UNITED STATES,0000000000,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,2/25/2021 10:38:31 AM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9296,Tuna,Fish,tunafis@op.net,,,,,,,UNITED STATES,345-666-6666,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,2/25/2021 1:24:10 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9297,Sandy,Fish,Sandyfish@op.net,,,,,,,UNITED STATES,,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,2/25/2021 1:29:02 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,39,
9300,Bob,Ross,bobby@ross.pi,,2678 Bob Ross Road,,Stearns,KY,42647,UNITED STATES,567-894-3210,,,,,,,,,,,UNITED STATES,,,,Gold Club,Yes,No,,2/25/2021 2:29:07 PM,,10/20/1954 12:00:00 AM,,,,,,,,,2656,531.2,
9301,Frank,Foot,frankfoot@op.net,,3456 53rd Avenue Northeast,,Tacoma,WA,98422,UNITED STATES,345-666-6666,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,2/25/2021 2:35:37 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9302,Fnjsbdc,Bbcbdsc,hinedff@orderport.net,,12826 Southeast 40th Lane,,Bellevue,WA,98006,UNITED STATES,555-555-5555,,,,,,,,,,,UNITED STATES,,,,Silver Club,Yes,No,,2/25/2021 3:16:14 PM,,1/1/1960 12:00:00 AM,,,,,,,,,4796,1655.8,
9304,Matt,Payhee,payhee@orderport.net,,7865 West Mercer Way,,Mercer Island,WA,98040,UNITED STATES,425-555-6666,,,,,,,,Bellevue,WA,98006,UNITED STATES,,,,Gold Club,Yes,No,,2/25/2021 3:35:28 PM,,1/1/1960 12:00:00 AM,,,,,,,,,11412,2282.4,
9306,Carl,Summers,Carlsummers@op.net,,,,,,,UNITED STATES,345-222-1111,,,,,,,,Bellevue,WA,98006,UNITED STATES,,,,Consumer,No,No,,2/26/2021 11:58:25 AM,,1/1/1962 12:00:00 AM,,,,,,,,,0,,
9308,Vic,Viper,vicviper@op.net,,,,,,,UNITED STATES,456-777-7999,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,2/26/2021 2:26:16 PM,,1/1/1966 12:00:00 AM,,,,,,,,,0,55,
9309,Harry,Banks,harrybanks@op.net,,3456 Northeast 3rd Street North,,Bremerton,WA,98311,UNITED STATES,234-222-2222,,,,,,,,,,,UNITED STATES,,,,Gold Club,Yes,No,,2/26/2021 2:37:32 PM,,1/1/1966 12:00:00 AM,,,,,,,,,7956,1591.2,
9311,Roland,Tide,rolandtide@op.net,,34596 56th Ct S,,Auburn,WA,98001,UNITED STATES,234-222-1111,,,,,,,,,,,UNITED STATES,,,,Silver Club,Yes,No,,2/26/2021 2:55:14 PM,,1/1/1957 12:00:00 AM,,,,,,,,,4306,1492.2,
9312,Rufus,Manners,Rufusmanners@op.net,,,,,,,UNITED STATES,234-543-1111,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,2/26/2021 2:58:13 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9314,Charlie,Bitme,Ouch@charlie.co,,6895 Speedway Boulevard,,Las Vegas,NV,89115,UNITED STATES,8907654321,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,2/26/2021 3:05:55 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9320,Glen,Glenn,glenglenn@op.net,,,,,,,UNITED STATES,453-222-1111,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,2/26/2021 7:37:34 PM,,1/1/1972 12:00:00 AM,,,,,,,,,0,,
9323,Eddie,Edwards,eddieedwards@op.net,,,,,,,UNITED STATES,345-666-6666,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/1/2021 8:48:18 AM,,6/1/1960 12:00:00 AM,,,,,,,,,0,,
9328,Baby,Ruth,babyruth@op.net,,2309 South Tacoma Way,,Tacoma,WA,98409,UNITED STATES,345-777-7777,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/1/2021 3:19:17 PM,,12/1/1960 12:00:00 AM,,,,,,,,,0,71.85,
9330,Mars,Barr,marsbarr@op.net,,,,,,,UNITED STATES,456-789-0432,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/1/2021 3:25:35 PM,,10/1/1964 12:00:00 AM,,,,,,,,,0,10,
9331,Jason,Hathaway,jason@mail.com,,,,,,,UNITED STATES,206-464-1151,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/1/2021 3:45:57 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9332,Milky,Way,milkyway@op.net,,4566 South Puget Sound Avenue,,Tacoma,WA,98409,UNITED STATES,435-666-6666,,,,,,,,Bellevue,WA,98006,UNITED STATES,,,,Gold Club,Yes,No,,3/1/2021 3:51:04 PM,,4/1/1963 12:00:00 AM,,,,,,,,,0,,
9340,Carol,Toller,Gavingrant@outloo.com,,Test Drive,,Chattanooga,TN,37421,UNITED STATES,555-555-5555,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/2/2021 3:34:23 AM,,1/1/1960 12:00:00 AM,,,,,,,,,0,10,
9341,Gavin,Grant,gavingrant@outlook.com,,Test Drive,,Chattanooga,TN,37421,UNITED STATES,666-666-6666,,,,,,,,,,,UNITED STATES,,,,Gold Club,Yes,No,,3/2/2021 3:43:09 AM,,1/1/1964 12:00:00 AM,,,,,,,,,0,,
9342,Rick,Belle,rickbelle@op.net,,,,,,,UNITED STATES,,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/2/2021 9:59:12 AM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9345,Jordan,Griffin,Jordan@orderport.net,,12345 Southeast 23rd Place,,Bellevue,WA,98005,UNITED STATES,555-555-5555,,,,,,,,Bellevue,WA,98006,UNITED STATES,,,,Consumer,No,No,,3/2/2021 10:20:36 AM,,1/1/1960 12:00:00 AM,,,,,,,,,0,57.05,
9346,Jordan,Iscool,Jordan1@orderport.net,,,,,,,UNITED STATES,,,,,,,,,Bellevue,WA,98006,UNITED STATES,,,,Consumer,No,No,,3/2/2021 10:25:17 AM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9347,Jordan,Griffin1,Jordan2@orderport.net,,,,,,,UNITED STATES,,,,,,,,,Bellevue,WA,98006,UNITED STATES,,,,Consumer,No,No,,3/2/2021 10:26:47 AM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9349,Beverly,Hills,bev@hills.op,,,,,,,UNITED STATES,421-578-9065,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/2/2021 10:30:39 AM,,5/5/1976 12:00:00 AM,,,,,,,,,0,,
9350,Rufus,Rice,Rufusrice@op.net,,,,,,,UNITED STATES,,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/2/2021 11:21:13 AM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9353,Rick,Wilson,rickwilson@op.net,,,,,,,UNITED STATES,,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/3/2021 8:17:56 AM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9355,Rick,Wilson,Rickwilson@oppp.net,,1234 East 2nd Street,,Port Angeles,WA,98362,UNITED STATES,675-888-8888,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/3/2021 8:24:51 AM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9356,Marilyn,Monroe,marilyn@op.po,,589 Hollywood Boulevard,,Los Angeles,CA,90027,UNITED STATES,222-222-2222,,,,,,,,,,,UNITED STATES,,,,Gold Club,Yes,No,,3/3/2021 8:50:03 AM,,8/3/1952 12:00:00 AM,,,,,,,,,0,,
9357,Will,Smith,will@smith.co,,,,,,,UNITED STATES,244-444-4444,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/3/2021 8:55:55 AM,,4/18/1973 12:00:00 AM,,,,,,,,,0,,
9358,Bruce,Lee,Bruce@lee.op,,3678 Bridgeport Court,,San Jose,CA,95117,UNITED STATES,666-666-6666,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/3/2021 9:09:48 AM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9363,James,Dean,james.d@gmail.net,OrderPort,12826 SE 40th LN,200,Bellevue,WA,98006,UNITED STATES,425-123-4567,,James,Dean,james.d@gmail.net,OrderPort,12826 SE 40th LN,200,Bellevue,WA,98006,UNITED STATES,425-123-4567,,,Gold Club,Yes,No,,3/3/2021 12:37:46 PM,,1/1/1960 12:00:00 AM,1/1/1960 12:00:00 AM,,,,,,,,5389,1739.35,
9364,Jack,Lemmon,jacklemmon@op.net,,3476 West Blaine Street,,Seattle,WA,98199,UNITED STATES,206-432-1212,,,,,,,,,,,UNITED STATES,,,,Gold Club,Yes,No,,3/3/2021 4:23:33 PM,,1/1/1935 12:00:00 AM,,,,,,,,,0,,
